,index,City,2019
0,0,Abbeville,126983.09444685373
1,1,Abell,330983.577032211
2,2,Aberdeen,186230.79583687184
3,3,Abernathy,88239.80716241563
4,4,Abingdon,287075.9912661168
5,5,Abington,387884.2906996169
6,6,Abington Township,329506.1225589448
7,7,Absecon,206007.46587821344
8,8,Acampo,499704.0744395522
9,9,Accident,192201.29600459718
10,10,Accokeek,408103.44823202095
11,11,Achille,56420.18714448124
12,12,Ackley,120255.75163764172
13,13,Acton,518263.37257021776
14,14,Acushnet,311540.8673180556
15,15,Acworth,213493.36003293734
16,16,Ada,110099.90505126852
17,17,Adair,98755.9163258676
18,18,Adairsville,139565.02527342766
19,19,Adairville,94723.04069142687
20,20,Adams,184575.08695361507
21,21,Adams Center,153877.63444042174
22,22,Adamstown,485421.4692646604
23,23,Adamsville,99795.42120094787
24,24,Addison,233279.29182389542
25,25,Addy,192368.65483963536
26,26,Adel,92275.92277663053
27,27,Adelphi,74039.75887360543
28,28,Adena,68142.15106513309
29,29,Adkins,275880.80516390107
30,30,Adona,68677.54287816757
31,31,Adrian,90880.05455610734
32,32,Affton,158909.0549878215
33,33,Afton,331076.34416397003
34,34,Agawam,252471.79610131896
35,35,Agness,324895.10125261004
36,36,Agoura Hills,957812.635447996
37,37,Aguanga,334165.4674105392
38,38,Aguila,238030.4273453884
39,39,Aiea,897637.6848320547
40,40,Aiken,158486.97909542642
41,41,Airville,204311.54381926352
42,42,Airway Heights,191728.04965626253
43,43,Ajo,70063.15191869045
44,44,Akron,81535.12115993797
45,45,Alachua,202735.51074182175
46,46,Alameda,880730.2626004107
47,47,Alamo,668186.0619454728
48,48,Alamosa,169030.96472307006
49,49,Albany,215079.54265714873
50,50,Albany Township,274385.69048387953
51,51,Albemarle,116357.5128802924
52,52,Albert City,77828.99066407817
53,53,Albertson,412215.8809348151
54,54,Albertville,241483.73476747327
55,55,Albion,100215.75250155701
56,56,Alburnett,191576.46258568985
57,57,Alburtis,224746.91485658093
58,58,Alcoa,141327.66867762484
59,59,Alcolu,99749.06273631004
60,60,Alden,199385.78101935465
61,61,Alderson,62155.30831484591
62,62,Aldie,679382.9368908363
63,63,Aledo,369726.11632493814
64,64,Alexander,263151.6692448084
65,65,Alexandria,427725.6234592309
66,66,Alexandria Bay,140453.0414930563
67,67,Alger,78041.38693391714
68,68,Algonac,184983.7088141443
69,69,Algonquin,261902.71939956245
70,70,Alhambra,518768.7884296012
71,71,Alicia,40802.093699227255
72,72,Aliso Viejo,792238.0902002375
73,73,Allegan,139582.19558886767
74,74,Allegheny Township,133212.98201234548
75,75,Alleman,222280.9419238408
76,76,Allen,266180.6172176224
77,77,Allen Park,110052.70523418067
78,78,Allendale,488411.74699365965
79,79,Allenhurst,135670.18390413743
80,80,Allenport,75407.31323197452
81,81,Allenspark,326335.4623995294
82,82,Allensville,117250.36889648867
83,83,Allentown,118962.60631500925
84,84,Allerton,100505.20177997484
85,85,Alliance,90179.4950592907
86,86,Allons,105603.83930051398
87,87,Alma,184265.30852252475
88,88,Almo,136876.73080288564
89,89,Alna,190475.7757653084
90,90,Alpena,100360.09947023418
91,91,Alpharetta,397389.81369279965
92,92,Alpine,1045954.4424793735
93,93,Alsip,178313.44184112508
94,94,Alstead,197307.13349996164
95,95,Alta,229630.44877438768
96,96,Altadena,814717.4868740893
97,97,Altamont,86081.6683375166
98,98,Altamonte Springs,217467.79081797937
99,99,Alto,138060.47456574725
100,100,Alton,244456.44567615318
101,101,Altoona,130053.51768121953
102,102,Altus,61003.555131711124
103,103,Alva,250225.87769634672
104,104,Alvada,142506.44991312505
105,105,Alvin,125886.13495923599
106,106,Alvordton,94055.7830668686
107,107,Amado,117507.86000669248
108,108,Amagansett,2754668.5193775864
109,109,Amanda,153352.7929309738
110,110,Amber,105366.37789472652
111,111,Amboy,405359.20570139994
112,112,Ambridge,80281.91632528247
113,113,Ambrose,122199.80308629769
114,114,Amelia,167735.04114183766
115,115,American Canyon,541027.1842032123
116,116,American Fork,369516.6910752509
117,117,Americus,88359.49185620568
118,118,Ames,79195.08428213143
119,119,Amesbury,392023.6679302141
120,120,Amherst,280242.1239011955
121,121,Amherstdale,65697.69854527907
122,122,Amissville,417942.342955951
123,123,Amity,167836.56295950396
124,124,Amity Township,272256.86862368806
125,125,Amityville,394230.1923521577
126,126,Ammon,237735.59418116
127,127,Anacortes,443285.26621583727
128,128,Anaheim,650267.6639725587
129,129,Anamosa,162995.08579479044
130,130,Anchorage,369727.59458852134
131,131,Ancona,81262.0193119373
132,132,Anderson,143275.3935902196
133,133,Andersonville,199125.8812298305
134,134,Andover,314225.2062020576
135,135,Angelus Oaks,213867.8593023261
136,136,Angier,171968.03721180704
137,137,Angleton,160234.78516877847
138,138,Angwin,780892.9163106816
139,139,Ankeny,241324.3345502206
140,140,Ann Arbor,376137.04481794965
141,141,Anna,155324.03310607758
142,142,Anna Maria,1014279.999767123
143,143,Annandale,438828.31203285686
144,144,Annapolis,648565.5681367689
145,145,Ansonia,159555.387880244
146,146,Anthem,345467.4662844824
147,147,Anthony,118394.59181916706
148,148,Anthonyville,98400.04809028584
149,149,Antioch,399265.90412766644
150,150,Antlers,78751.19553616893
151,151,Antwerp,83251.78837934682
152,152,Anza,243967.2482501338
153,153,Apache Junction,201759.50896788808
154,154,Apalachicola,161752.31823256635
155,155,Apex,357524.5448128549
156,156,Apollo Beach,291247.5189334499
157,157,Apopka,221945.03230968624
158,158,Apple Creek,186010.87418423087
159,159,Apple Valley,248904.49189364375
160,160,Applegate,431639.60579756775
161,161,Appling,236319.34547285442
162,162,Aptos,928052.7594303028
163,163,Arab,113634.95442231765
164,164,Arabi,123603.33909227556
165,165,Aragon,95315.14597078344
166,166,Arcadia,454452.1296454829
167,167,Arcanum,133215.70789217507
168,168,Archbold,124949.38828544361
169,169,Archdale,118863.21518066313
170,170,Archer,166643.5791966805
171,171,Arcola,223062.3464037758
172,172,Arden,349229.3359386059
173,173,Arden-Arcade,353045.78781741095
174,174,Ardmore,195467.9091865958
175,175,Ardsley,755681.2480467214
176,176,Arendtsville,185467.11224642425
177,177,Argos,111608.65364948251
178,178,Aristes,44559.70531128
179,179,Arivaca,161103.57625560346
180,180,Arkadelphia,102163.41618867982
181,181,Arkoma,47375.055652922616
182,182,Arlington,453864.86090106145
183,183,Arlington Heights,378043.56940275047
184,184,Armada,208954.0335642497
185,185,Armona,160149.61390460964
186,186,Armstrong Township,139826.29519487612
187,187,Armuchee,138755.20497820413
188,188,Arnett,54654.47653836102
189,189,Arnold,322090.09870432876
190,190,Arnoldsville,168143.10834949565
191,191,Aroda,249683.88214431325
192,192,Aromas,634085.1818210954
193,193,Arrington,362814.31991136575
194,194,Arrowsmith,100325.49580110404
195,195,Arroyo Grande,713472.9232776272
196,196,Artesia,565068.6804887252
197,197,Arvada,407875.75422367064
198,198,Arvin,162256.36309198837
199,199,Ash Flat,88149.34857238783
200,200,Ashburn,437992.19549431925
201,201,Ashburnham,250669.5302882822
202,202,Ashby,272762.0081506321
203,203,Asheboro,121165.68663067806
204,204,Asher,83571.5655271364
205,205,Ashford,122812.60028465856
206,206,Ashland,189079.7295364995
207,207,Ashland City,164739.30771286026
208,208,Ashley,121457.3603354108
209,209,Ashtabula,77204.07812811324
210,210,Ashton,691647.3295386106
211,211,Ashville,122166.37688818005
212,212,Aspen,5210257.377375862
213,213,Astatula,183064.32907488567
