,City,2019
1675,Pittsburgh,207726.809935998
5343,Pittsburgh,223599.376692373
699,Richardson,327878.24689107144
1512,Bedford,279909.7190075363
2272,Austin,361399.14632142714
12471,Dover,89741.24087003246
6256,Pittsburgh,206279.86473986442
7709,Eufaula,84792.65882934227
9798,Pollok,149596.43231506442
13846,Gene Autry,95589.90435420367
13313,Creston,169323.60230994987
1367,Fort Worth,295438.3092116805
12074,Newell,149320.46417592632
5659,Pittsburgh,140697.6609916062
11830,Wanette,97781.50752220988
2968,Pittsburgh,191337.9560673414
2112,Lufkin,132601.7519435065
7992,Oklahoma City,253747.04439074625
3207,Lufkin,121869.25755555068
12422,Tryon,86048.60218273071
2269,Highland Village,336276.8309059201
1020,Dallas,469786.1193331353
10920,Haworth,68284.21186640755
13236,Linn Grove,111200.69575890666
13831,Omega,154289.24534640773
8417,Wilburton,65011.13831988201
1780,Austin,397744.4256036093
12373,Coleman,145686.34550527346
11838,Paden,91262.37734096432
3164,Austin,486030.34507164994
10537,Red Rock,249691.31685626585
12246,Milburn,127256.32137503778
12873,Hodgen,64356.12210685084
3974,Buffalo,206317.7366656186
4140,Denton,291604.7160987577
11956,Aurelia,119608.78931114238
7929,Diboll,108105.23138265543
504,Little Elm,283497.09520891745
11426,Hinton,223409.62073900393
10120,Crown City,99079.17297453931
11621,Cartwright,104544.11466799391
1492,Flower Mound,361700.47997885954
5575,Leitchfield,107536.61516865873
1660,Roanoke,407591.45483612525
7567,Adkins,275880.80516390107
507,Austin,518120.7262083477
3279,Pittsburgh,155609.78393153026
5723,Buffalo,415831.0560732135
10202,Lily,98587.06519085553
24,Cedar Park,328844.88686685445
12846,Mill Creek,79109.33853230129
11126,Okarche,152541.76035959064
13137,Carter,119511.55841060895
4531,Pasadena,227395.747824968
8000,Lytle,198317.566577277
13328,Chester,95806.92605378912
7971,Kingfisher,130926.27971322055
13051,Monroe,140734.82374990606
10869,Sharon,70387.56271011423
10679,Elmore City,78902.22201656824
9,Pflugerville,261397.44452151746
11080,Freedom,264484.24287719396
11509,Ninnekah,105780.30027867724
5081,London,124460.24422722966
11385,Fort Cobb,80685.0919430152
1116,Dallas,548792.1795230829
3435,Richardson,377046.0531299125
3973,Houston,235994.39121310273
10704,Convoy,107939.35210132408
8472,Wayne,142942.57720106153
10430,Seaman,110105.27053098303
2087,Keller,399680.3740033189
10776,Adairville,94723.04069142687
13856,Parlin,343857.2871920247
12257,Gravel Switch,100988.25239603405
3115,Fort Worth,470392.76184721047
1256,Coppell,435126.4113801555
13651,Carrier,132528.19640195387
2297,Frisco,425275.7610050718
11549,Raccoon,45962.301557381135
4822,Lackawanna,125805.78648351117
6367,Le Mars,170894.10399413214
11803,Liverpool,159110.33778095743
2706,Houston,183192.2480272129
6896,San Marino,1229084.132973127
12566,Darden,92411.04008722793
4914,Dripping Springs,472971.20720579533
13382,Fairmont,94546.83201815245
13038,Castle,98367.63291026726
2971,Austin,1172509.5569148029
434,New York,1340633.779592023
11179,Allen,80291.30236623378
2419,Brentwood,138400.80990394813
5362,Swissvale,151531.8247750706
8376,Pinehurst,249088.04093620038
2436,Austin,751585.5926055288
5609,Huron,128118.86033980107
59,Dallas,344102.282979909
1915,Santa Monica,1412472.799457331
11934,Bennington,116180.192629815
2309,Katy,247738.20318040988
10788,Stonewall,85260.01344994281
9944,Paige,250865.7491310093
3746,Southlake,765401.9972476967
6349,Carroll,160634.4916721338
12548,Gracemont,92787.55694077443
12687,Olmstead,124866.00879512205
13271,Marathon,89642.96592402732
1785,Buda,279172.0379044848
1356,Oakland,1072563.2746155679
6467,Aspen,5210257.377375862
12692,Verden,63167.067421894455
2628,Pittsburgh,346252.0805052021
1850,Manhattan Beach,1384499.1322238948
4383,Marble Falls,260279.47334993433
9741,Hennessey,95458.52539117263
12312,Bath Springs,125299.09499815515
6197,Shaler Township,168621.39864190458
281,Los Angeles,990602.5134912428
911,Los Angeles,1918102.2087746062
12359,Malcolm,251023.82408319405
7281,Beverly Hills,1282642.8348817336
9284,Los Angeles,1437956.8498793743
5466,Conroe,205510.6649431328
8591,Sneedville,88178.64370386399
3807,Bellevue,156060.76960538904
9723,Wister,84892.84480202716
5577,Austin,515708.3361239174
2724,Grandview Heights,379964.92202188703
6492,Pittsburgh,94069.85498161324
6160,Santa Monica,1549716.085533647
1167,Pearland,259772.408008695
214,Los Angeles,1006000.7210808605
4351,Baytown,305777.711419001
10285,Goldsby,191136.82614771996
5412,Austin,489246.44084748323
1159,Houston,1254564.3113214783
319,New York,1427637.9669457981
2252,Dallas,428936.37825118407
982,New York,1683839.2986755369
2190,Whitehall,179770.98995558193
2231,Los Angeles,1282266.5788082979
10326,Tolar,206490.2099569405
12560,Paxton,125667.64736654364
3549,South Pasadena,804764.5970626667
9842,Wallis,187334.86192169695
2801,Longview,164208.62422733245
12892,Good Hope,84217.07271210535
2977,Bastrop,231455.11829522764
10860,Londonderry,96907.88309529326
6187,O'Hara Township,247590.69760886012
4182,Beverly Hills,2906785.45276266
