,60614,10023,10025,60657,77494
0,530315.5341590162,511190.83718338836,555908.9991708725,352174.8251441899,197911.17815531377
1,532721.691875909,513404.98620159214,565284.4596273392,355570.7173120257,198068.3016635641
2,536209.8954705483,525338.0367653461,573171.8733571081,357332.4817096303,198270.45433220334
3,538575.2301320046,525268.5157912262,580754.3096141735,357690.13412040466,198732.50871370203
4,539922.4286149638,526080.1437619597,590289.7981079875,357673.4238464419,199413.8729401849
5,541860.4998369825,527456.641385535,604515.7262355038,357540.74849655415,200196.31814797153
6,545184.1590987085,531452.0258621305,616861.134154503,359261.19540948304,200761.80805641934
7,548743.056932393,538626.5045594889,631054.2049120779,361105.70351697964,201398.30646585018
8,553366.047107039,542814.8128371659,641698.0947909926,364147.814255991,201744.78338431515
9,553984.7879370011,537408.8917545483,649371.5604873553,365304.41779629816,201863.8153843861
10,559727.2971249082,537102.038950014,656122.6335762017,369458.96501066803,201977.5952028393
11,562974.363467467,556979.1047728785,675670.5444194163,368615.8745589521,203595.29797208912
12,565957.4068705818,558291.1251378633,684550.6297435875,371449.89473122545,204079.58211659946
13,568531.4748159957,561707.8202021924,694467.7802354874,373635.11126633646,204486.20969471798
14,571341.6941885315,572689.157104483,703888.6191837079,375090.52810930664,204908.6793488942
15,573635.7060209252,574081.9569689919,713482.0867821906,375872.14723709476,205408.1435036151
16,575536.143005962,575740.5586440942,723667.0321547203,376415.3369393436,205964.75744180224
17,577964.4805203456,577069.9890666665,735377.8917998691,377056.7315352385,206538.69374581284
18,580852.2498940284,579593.4361972675,746735.9461503715,378416.39458902035,207065.52785633682
19,584946.7208098448,583536.990392964,759118.1681807683,379821.9729197908,207372.37995321036
20,589603.6904617478,586385.4286674568,769756.4937663687,381771.50217130996,207615.8870630886
21,594340.2458582217,589373.5400153936,782902.6139642313,384043.20915768814,207752.57355448732
22,599421.8029412888,592494.2528091441,792588.527643925,386661.84899307275,207902.98642649234
23,603313.2166278146,598808.9107954154,803403.0591827452,389168.61183102004,208235.35992813803
24,608038.6814311069,605442.516000417,813182.2669449892,390689.5780966728,208651.35441858225
