,date,WV,IA,MT,IN,GA,UT,LA,MD,OR,RI,DC,VA,MS,NM,KY,OK,NV,TX,NH,TN,VT,OH,CA,CO,ID,DE,HI,MI,SC,CT,ND,AR,AL,WY,NJ,IL,AZ,WA,KS,FL,NC,MO,ME,AK,NY,MN,MA,WI,SD,PA,NE
0,1997-01-01,61694.753874206704,88086.2913259767,153508.21318700537,81501.24722126083,95471.94603593994,186753.2541159536,96182.36728835713,163633.27536188596,145699.1793528529,138623.05785791748,213911.6222773023,148668.2756122574,67093.94246598314,144043.30573760308,76964.8601459256,54371.00607492869,188561.8560979887,126543.6418939063,117280.60723131729,81938.39304966645,114139.15223750497,94756.81026605,196659.23852519187,165108.1705334513,133520.9315358607,148535.41494140768,273509.48518570175,112856.88685788274,106313.07277613002,164434.29718857395,409540.3806622038,61207.885037032014,89007.15137449792,124905.56772270284,187974.06980626067,142847.94861583415,127146.19589802362,160037.16880343875,130502.63694055546,121644.08232584743,110995.45302997019,113072.16652952562,115595.66615544206,162695.04341451195,124940.858482805,121860.80313864477,184242.3452311543,132278.8778074792,42156.631162790305,107270.01759965294,118983.86813270485
1,1997-02-01,61841.555292771875,88297.40660324747,153989.38016529375,81995.77853575381,95796.65478268551,187032.3326270947,96671.5217507684,163931.11825065524,146199.9416321419,139004.4428894502,214682.83470166908,148911.980622735,67194.19271121065,144493.66669919126,77217.78128447126,54578.883429728085,189007.9662625699,126961.56258741888,117924.29634658895,82193.39404779409,114146.68061948035,95074.59733328683,198249.7943474963,165789.0757276659,133765.74818293343,148964.11715608553,273683.1619748991,113377.29945068185,106702.87456566539,164880.2659080996,406788.9344224956,61394.168279426514,89524.3111563562,125151.07964591001,188569.27080880618,142913.81082912945,127666.96315810313,160810.48173338472,130728.48328020412,122049.98430829254,111391.47908194772,113272.24716368788,115964.00074494093,163551.1720592983,125329.0213084284,122443.21629681105,185584.90173115904,132641.49954220848,42521.46525098434,107519.0785088466,118892.46614127657
2,1997-03-01,61974.15012244364,88488.0913698146,154423.98259729616,82442.45198110229,96089.94010232665,187284.40354038344,97113.33868455922,164200.1376340598,146652.24304569326,139348.91969212494,215379.41366561328,149132.10127735988,67284.74131980323,144900.4443419161,77446.22618380282,54766.64362115979,189410.90447574007,127339.0393428496,118505.69296683434,82423.7175299739,114153.48044836133,95361.63081337172,199686.4254128035,166404.0868708275,133986.87289641847,149351.3320596655,273840.03133288387,113847.34953450043,107054.95360137479,165283.07636444535,404303.7571737268,61562.42411126669,89991.42321738947,125372.83235074229,189106.87171433115,142973.29927984776,128137.33358656205,161508.95792817464,130932.47352246744,122416.60545372684,111749.18003212094,113452.96515583442,116296.69005158506,164324.44954491174,125679.61998963667,122969.2668912838,186797.53340858268,132969.0288509962,42850.99281451445,107744.03674940862,118809.90950385747
3,1997-04-01,62120.95154100883,88699.20664708536,154905.1495755845,82936.98329559527,96414.64884907223,187563.48205152457,97602.49314697046,164497.9805228291,147153.00532498225,139730.30472365767,216150.62608998007,149375.80628783748,67384.99156503074,145350.80530350428,77699.14732234848,54974.52097595918,189857.0146403213,127756.9600363622,119149.382082106,82678.71852810154,114161.00883033672,95679.41788060858,201276.9812351079,167084.9920650421,134231.6895434912,149780.03427434334,274013.70812208124,114367.76212729955,107444.75539091016,165729.04508397102,401552.3109340186,61748.707353661186,90508.58299924775,125618.34427394946,189702.07271687666,143039.16149314304,128658.10084664155,162282.27085812064,131158.3198621161,122822.50743617193,112145.20608409846,113653.04578999667,116665.02464108392,165180.57818969805,126067.78281526009,123551.68004945008,188140.08990858746,133331.65058572547,43215.82690270849,107993.09765860227,118718.5075124292
4,1997-05-01,62263.01742994287,88903.51175412157,155370.79503844422,83415.56198704008,96728.88312011633,187833.5580300482,98075.86843317491,164786.21557647682,147637.61398235871,140099.38701223774,216896.96069420598,149611.64984636416,67482.00793137994,145786.63849213804,77943.90971448945,55175.692609636004,190288.73415443217,128161.39941718083,119772.30703236892,82925.49368757992,114168.29436128061,95986.9537521281,202816.22880507994,167743.93257557237,134468.60887936802,150194.90738532192,274181.78243420774,114871.38721710515,107821.98292917022,166160.62771577004,398889.6210246236,61928.981459204246,91009.06020749769,125855.93645769835,190278.07368708198,143102.89911891267,129162.06916284752,163030.63820968126,131376.88083596964,123215.31580628011,112528.45710214123,113846.67221015369,117021.47746963121,166009.08978142677,126443.4242594118,124115.30568638518,189439.3381343985,133682.5748451409,43568.89214934788,108234.12434491872,118630.05397233732
5,1997-06-01,62409.818848508046,89114.62703139233,155851.9620167326,83910.09330153305,97053.59186686188,188112.63654118933,98565.02289558617,165084.0584652461,148138.3762616477,140480.77204377047,217668.17311857277,149855.35485684176,67582.25817660744,146236.99945372622,78196.83085303509,55383.569964435395,190734.8443190134,128579.3201106934,120415.99614764057,83180.49468570756,114175.82274325598,96304.74081936493,204406.78462738436,168424.83776978697,134713.42552644073,150623.60959999973,274355.4592234051,115391.79980990427,108211.7847187056,166606.5964352957,396138.17478491535,62115.26470159874,91526.21998935597,126101.44838090551,190873.2746896275,143168.76133220797,129682.83642292705,163803.95113962726,131602.72717561832,123621.21778872522,112924.48315411873,114046.75284431595,117389.81205913008,166865.21842621308,126831.58708503522,124697.71884455146,190781.8946344033,134045.19657987016,43933.72623754192,108483.18525411237,118538.65198090905
6,1997-07-01,62551.88473744209,89318.93213842856,156317.60747959232,84388.67199297785,97367.82613790598,188382.71251971298,99038.39818179062,165372.29351889386,148622.98491902417,140849.85433235054,218414.5077227987,150091.19841536842,67679.27454295666,146672.83264235995,78441.59324517606,55584.74159811223,191166.56383312427,128983.75949151203,121038.92109790347,83427.26984518593,114183.1082741999,96612.27669088446,205946.03219735637,169083.77828031723,134950.34486231755,151038.4827109783,274523.53353553166,115895.42489970988,108589.01225696567,167038.17906709472,393475.4848755203,62295.5388071418,92026.69719760593,126339.04056465438,191449.2756598328,143232.4989579776,130186.804739133,164552.31849118788,131821.28814947186,124014.02615883337,113307.7341721615,114240.37926447295,117746.26488767737,167693.73001794177,127207.22852918692,125261.34448148655,192081.1428602143,134396.12083928558,44286.79148418131,108724.21194042881,118450.19844081717
7,1997-08-01,62698.68615600727,89530.04741569932,156798.7744578807,84883.20330747083,97692.53488465156,188661.79103085407,99527.55264420187,165670.13640766314,149123.74719831315,141231.2393638833,219185.72014716544,150334.90342584602,67779.52478818415,147123.19360394817,78694.5143837217,55792.618952911616,191612.6739977055,129401.68018502463,121682.61021317515,83682.27084331357,114190.63665617528,96930.06375812131,207536.58801966076,169764.68347453183,135195.16150939028,151467.18492565615,274697.21032472904,116415.837492509,108978.81404650104,167484.1477866204,390724.03863581206,62481.8220495363,92543.8569794642,126584.55248786157,192044.47666237832,143298.36117127287,130707.57199921251,165325.63142113385,132047.1344891205,124419.92814127849,113703.76022413901,114440.4598986352,118114.59947717622,168549.8586627281,127595.39135481034,125843.75763965285,193423.69936021906,134758.74257401485,44651.62557237535,108973.27284962246,118358.7964493889
8,1997-09-01,62845.48757457244,89741.16269297007,157279.94143616906,85377.73462196381,98017.24363139711,188940.8695419952,100016.70710661315,165967.97929643246,149624.50947760217,141612.62439541603,219956.93257153226,150578.60843632362,67879.77503341166,147573.55456553635,78947.43552226736,56000.49630771101,192058.78416228673,129819.6008785372,122326.29932844681,83937.27184144122,114198.16503815068,97247.85082535815,209127.14384196518,170445.58866874647,135439.978156463,151895.88714033397,274870.8871139264,116936.25008530813,109368.61583603642,167930.11650614603,387972.5923961039,62668.10529193078,93061.01676132248,126830.06441106874,192639.67766492383,143364.22338456815,131228.33925929203,166098.94435107984,132272.98082876918,124825.83012372359,114099.78627611652,114640.54053279746,118482.93406667512,169405.98730751444,127983.55418043377,126426.1707978191,194766.25586022384,135121.36430874412,45016.45966056939,109222.33375881614,118267.3944579606
9,1997-10-01,62987.55345029852,89945.4677935553,157745.58689902877,85856.31332040069,98315.770695186,189210.945540349,100490.08239024841,166256.2143501315,150109.11334196187,141981.7066823122,220709.93762116344,150814.45206792606,67976.79139976086,148009.38775417008,79014.31086993421,56187.3715420302,192490.50369585204,130224.04025887689,122949.22456583893,84184.04661499106,114205.45056394475,97555.38669628944,210666.4021219422,171104.5291071778,135676.8974670736,152310.7603022404,275038.9614464308,117439.87518943883,109745.81901643006,168361.89842730417,385309.9024867088,62848.37938406406,93472.46034675246,127067.65659481761,193215.67861379293,143427.96101086482,131732.3076661197,166847.3119489081,132490.12954055335,125218.64114186734,114482.9578593121,114834.16696457144,118839.38690118789,170234.498982916,128367.02566255438,126989.79680710798,196065.74995300503,135472.28856512246,45369.52491424975,109463.36053908369,118107.75307152324
