,name,pop,lat,lon,2019
2171,Palm Beach ,8247.0,26.627979800000002,-80.44941740000002,4292716.697560236
1153,Los Altos ,29482.0,37.379062899999994,-122.116578,3042019.7786292564
590,Palo Alto ,65442.0,37.442156,-122.16344720000001,2747506.801339054
1157,Burlingame ,29302.0,37.5841026,-122.36608249999999,2456351.454276552
434,Newport Beach ,86229.0,33.6170092,-117.92944009999998,2243988.3183857803
1077,Menlo Park ,32519.0,37.453827399999994,-122.18218710000001,2178225.7282506195
2102,Tiburon ,9050.0,37.873437100000004,-122.4566122,2151843.964329324
1851,Malibu ,12741.0,36.8468149,-76.0952116,2098087.4944572807
660,Cupertino ,59253.0,37.323010700000005,-122.0322519,2066898.5296304887
1140,Los Gatos ,29874.0,37.226611,-121.9746797,2034685.8051815918
1581,Orinda ,18135.0,37.8771476,-122.17968880000001,1997869.980637124
1389,Laguna Beach ,23019.0,33.5420888,-117.78341470000001,1820431.9908168241
513,Mountain View ,75207.0,37.3855745,-122.08205,1812034.4121793204
1038,West Hollywood ,34645.0,34.0900091,-118.3617443,1662230.5886951669
1837,Paradise Valley ,13006.0,33.5888838,-112.0990443,1654807.2827670388
404,Santa Monica ,90749.0,34.0195598,-118.48697390000001,1623331.9016801843
21,San Francisco ,816239.0,37.7792768,-122.41927040000002,1601194.510216139
1420,Millbrae ,21873.0,37.5985468,-122.38719420000001,1586606.7678242656
760,Hoboken ,51330.0,40.7433066,-74.0323752,1565066.0373408492
1665,Moraga ,16324.0,37.8347106,-122.1295596,1558508.195768815
407,Miami Beach ,90416.0,25.7881436,-80.1272705,1542301.1862767218
1783,Mill Valley ,14066.0,37.906036799999995,-122.5449763,1535026.3150206734
1108,Foster City ,31010.0,37.560033600000004,-122.26885220000001,1528457.5367404784
486,Redwood City ,78066.0,37.4852152,-122.2363548,1503581.4259117052
1379,Mercer Island ,23334.0,47.576632399999994,-122.2276378,1495498.7827754512
1814,Palos Verdes Estates ,13520.0,33.7872386,-118.40181299999999,1481232.7541240202
1356,Calabasas ,23809.0,34.144664299999995,-118.6440973,1467862.9543195276
1362,Coronado ,23637.0,32.6858854,-117.18308909999999,1424227.5342615938
367,San Mateo ,98669.0,37.496904,-122.33305729999998,1394076.2065617072
1022,Manhattan Beach ,35353.0,33.895083899999996,-118.40001470000001,1384499.1322238948
893,Rancho Palos Verdes ,42099.0,33.7483311,-118.3707683,1378141.3582275794
2084,Corte Madera ,9340.0,37.92548060000001,-122.5274755,1374639.5559342364
1644,El Segundo ,16764.0,33.911731,-118.3836804,1272749.7650209921
520,San Ramon ,73062.0,37.7799273,-121.9780153,1263780.5004414432
663,Great Falls ,58971.0,47.5048851,-111.2918908,1249319.4234074163
1510,Hermosa Beach ,19625.0,33.86428,-118.39591000000001,1214221.3466979964
1835,Solana Beach ,13034.0,32.9905597,-117.2691316,1167088.1015148486
227,Sunnyvale ,143968.0,37.368830100000004,-122.03634960000001,1162064.9867137794
1869,San Anselmo ,12448.0,37.9744323,-122.56150320000002,1160541.133573353
413,Santa Barbara ,88757.0,34.4098107,-119.6970239,1137318.0817971565
576,Redondo Beach ,67193.0,33.8455911,-118.38867659999998,1119929.158774315
1885,Larkspur ,12043.0,37.9340915,-122.53525390000001,1107100.9512651437
1044,Beverly Hills ,34361.0,34.073620399999996,-118.40035630000001,1105263.7516110763
1915,Half Moon Bay ,11518.0,37.4635519,-122.4285862,1104323.9145084978
1692,Rye ,15834.0,40.9808209,-73.684294,1096426.916842281
2160,Westlake Village ,8337.0,34.145838899999994,-118.80564740000001,1092769.5912718205
648,Encinitas ,60339.0,33.0369867,-117.2919818,1075474.2178757307
941,Culver City ,39120.0,34.021122399999996,-118.3964665,1067057.5784467706
536,Pleasanton ,71249.0,37.6624312,-121.8746789,1065380.767751142
537,Pleasanton ,9077.0,37.6624312,-121.8746789,1065380.767751142
667,San Rafael ,58264.0,37.9735346,-122.5310874,1046479.0072101104
2054,Alpine ,9731.0,38.5893934,-119.8345013,1045954.4424793735
1833,Carpinteria ,13078.0,34.3988838,-119.5184564,1042447.5476599038
900,San Bruno ,41562.0,37.6304904,-122.41108349999999,1035380.9311898864
597,San Clemente ,64378.0,33.4270275,-117.6124179,1035285.1101658221
1327,Seal Beach ,24363.0,33.741176,-118.1046356,1030444.1187408059
1058,Dana Point ,33688.0,33.4669721,-117.69810749999999,1027620.9806236624
1968,Sierra Madre ,10990.0,34.1616729,-118.0528456,1022005.3468665208
12,San Jose ,971495.0,37.343850200000006,-121.88313490000002,1018212.8624661324
1913,Los Alamitos ,11542.0,33.8037416,-118.07805330000001,1002620.915122055
577,Milpitas ,67188.0,37.4282724,-121.90662379999999,983976.7890015113
33,Boston ,630645.0,42.3604823,-71.0595678,968278.9999785328
608,Laguna Niguel ,63893.0,33.5225261,-117.70755259999999,964763.3533327552
157,Huntington Beach ,193366.0,33.678123799999995,-118.0000112,958786.6092042895
1475,Agoura Hills ,20523.0,34.1363945,-118.7745348,957812.635447996
1444,Sunny Isles Beach ,21458.0,25.939003,-80.12553377,948993.2430352822
591,Walnut Creek ,64914.0,37.9063131,-122.06496299999999,939619.6673422696
592,South San Francisco ,64621.0,37.6549493,-122.40812509999999,939028.3446382069
964,Pacifica ,37853.0,37.613825299999995,-122.48691940000002,937306.2061902656
293,Santa Clara ,118010.0,37.35411320000001,-121.95517439999999,929403.0088791172
122,Irvine ,220528.0,33.685696899999996,-117.82598190000002,928213.0680940041
307,Berkeley ,114048.0,37.8708393,-122.27286389999999,926995.5686103464
308,Berkeley ,9108.0,37.8708393,-122.27286389999999,926995.5686103464
586,Yorba Linda ,65765.0,33.890107,-117.8255939,922138.713170488
1905,Scotts Valley ,11631.0,37.051059499999994,-122.0146841,920388.7194335652
1027,San Juan Capistrano ,35219.0,33.5016932,-117.66255090000001,909741.2312585394
504,Tustin ,76371.0,33.7458511,-117.82616599999999,909039.2143690458
1137,Goleta ,30020.0,34.4358295,-119.8276389,908574.2643208968
822,Sammamish ,47936.0,47.608844500000004,-122.0423067,905443.2614519576
948,Morgan Hill ,38791.0,37.130408,-121.65449740000001,901112.8446419764
352,Daly City ,102640.0,37.688432,-122.4606865,897553.955612197
1716,Pacific Grove ,15251.0,36.617443200000004,-121.9155906,895266.0669441938
634,Santa Cruz ,61449.0,36.9746099,-122.0294259,892603.2771769976
1126,Saratoga ,30363.0,43.0833231,-73.8712155,888340.6215028889
517,Alameda ,74753.0,37.6090291,-121.899142,880730.2626004106
2139,Ladue ,8531.0,38.6497743,-90.3806725,878594.522409776
325,Carlsbad ,26295.0,33.158093300000004,-117.3505939,865956.5534886469
324,Carlsbad ,107754.0,33.158093300000004,-117.3505939,865956.5534886469
1121,Laguna Hills ,30620.0,33.5948758,-117.68820670000001,859370.7721852919
314,Costa Mesa ,111049.0,33.6633386,-117.90331699999999,859253.8046713439
0,New York ,8287238.0,40.730599100000006,-73.9865812,857067.1818154162
737,Novato ,52729.0,38.1061979,-122.56811909999999,856941.4006641698
1,Los Angeles ,3826423.0,34.053717,-118.24272659999998,854093.2320883293
818,Coral Gables ,48271.0,25.6905515,-80.23500888,832514.4517953006
696,Fountain Valley ,56072.0,33.7038145,-117.96273490000002,815579.756764382
215,Torrance ,146461.0,33.835849200000006,-118.34062879999999,812111.1982159959
359,Boulder ,100852.0,40.0149856,-105.2705456,805514.503957103
929,Brea ,39897.0,33.917044399999995,-117.88885570000001,805383.2259649117
1277,South Pasadena ,25787.0,34.113306200000004,-118.1478291,804764.5970626667
485,Lake Forest ,19352.0,42.2586342,-87.840625,804068.3907967703
484,Lake Forest ,78454.0,42.2586342,-87.840625,804068.3907967703
1387,Bainbridge Island ,23197.0,47.65526,-122.5350862,802752.5278224235
1655,Marco Island ,16666.0,25.9356875,-81.6948967,802574.164547071
2222,Pismo Beach ,7698.0,35.1427533,-120.6412827,801658.3212332196
809,Aliso Viejo ,48953.0,33.576137599999996,-117.7258122,792238.0902002375
257,Thousand Oaks ,127559.0,34.1705609,-118.83759369999999,787574.2166035936
386,Mission Viejo ,94209.0,33.5965685,-117.659405,780954.1657911522
437,Newton ,19144.0,42.3370414,-71.2092214,766436.0952093207
438,Newton ,15145.0,42.3370414,-71.2092214,766436.0952093207
439,Newton ,12951.0,42.3370414,-71.2092214,766436.0952093207
440,Newton ,8068.0,42.3370414,-71.2092214,766436.0952093207
436,Newton ,85915.0,42.3370414,-71.2092214,766436.0952093207
856,San Luis Obispo ,45415.0,35.2827525,-120.6596156,765824.068507807
1957,Woodinville ,11095.0,47.75458270000001,-122.1588902,765607.3683512105
1226,Southlake ,27140.0,33.0074185,-97.16742841,765401.9972476967
697,Diamond Bar ,55982.0,34.028622600000006,-117.81033670000001,764965.8664091845
34,Seattle ,622175.0,47.6038321,-122.3300624,754015.0966793984
817,Rancho Santa Margarita ,48426.0,33.640855,-117.603104,741364.4675664408
1090,Issaquah ,31949.0,47.5348778,-122.04329740000001,740538.5478529325
812,Poway ,48697.0,32.9628234,-117.0358646,735984.2872845945
1010,Temple City ,35824.0,34.1082994,-118.05775679999999,732682.2317564156
1927,Healdsburg ,11362.0,38.6298355,-122.859002,729962.5324706676
491,New Rochelle ,77709.0,40.9115386,-73.78263630000001,729681.9086910295
1853,Falls Church ,12720.0,38.882334,-77.17109140000001,723787.4876693154
8,San Diego ,1321016.0,32.7174209,-117.16277140000001,723406.6524724558
1613,Rancho Mirage ,17487.0,33.763346000000006,-116.4228596,721240.8461125266
755,Placentia ,51582.0,33.8714814,-117.8617337,717387.0859132896
1621,Arroyo Grande ,17337.0,35.118586900000004,-120.59072520000001,713472.9232776272
1891,Steamboat Springs ,11901.0,40.484800299999996,-106.83173590000001,710252.9292517437
782,Gilroy ,49683.0,37.0065078,-121.5631723,708013.1241981578
587,Davis ,65741.0,38.545379,-121.74458349999999,707108.0692369171
1958,Signal Hill ,11087.0,40.619377,-74.08737550000001,698119.5385748362
2238,Ojai ,7517.0,34.448049499999996,-119.24288899999999,697435.1089208056
1484,Lomita ,20420.0,33.7924421,-118.3144385,695894.7721617264
1031,Moorpark ,34853.0,34.285558,-118.8820414,694918.6654493911
668,Petaluma ,58262.0,38.270022,-122.6061223,693483.3833151108
1326,Hercules ,24368.0,38.017144099999996,-122.28858079999999,692965.2376585252
240,Fullerton ,136673.0,33.870821500000005,-117.9294165,692452.8834467274
1352,El Cerrito ,23866.0,33.8410146,-117.52079769999999,692354.6512122836
510,Chino Hills ,75788.0,33.992680299999996,-117.760056,687994.9875771615
644,Monterey Park ,60676.0,34.0512156,-118.12922900000001,682433.0883205726
40,Washington ,13805.0,38.8949549,-77.03664559999999,679024.7435936041
39,Washington ,13976.0,38.8949549,-77.03664559999999,679024.7435936041
38,Washington ,15409.0,38.8949549,-77.03664559999999,679024.7435936041
37,Washington ,19974.0,38.8949549,-77.03664559999999,679024.7435936041
36,Washington ,620427.0,38.8949549,-77.03664559999999,679024.7435936041
43,Washington ,7302.0,38.8949549,-77.03664559999999,679024.7435936041
41,Washington ,11640.0,38.8949549,-77.03664559999999,679024.7435936041
42,Washington ,9729.0,38.8949549,-77.03664559999999,679024.7435936041
976,Lake Oswego ,36984.0,45.4206749,-122.67064979999999,677012.0789615543
1101,La Verne ,31284.0,34.10084260000001,-117.7678355,672318.9481584246
1265,Carbondale ,8872.0,37.7274692,-89.216655,670643.9017557686
1264,Carbondale ,26389.0,37.7274692,-89.216655,670643.9017557686
1449,Biddeford ,21307.0,43.4925843,-70.4533844,670084.5268754007
126,Fremont ,217630.0,37.548269700000006,-121.98857190000001,669663.5361896403
127,Fremont ,26687.0,37.548269700000006,-121.98857190000001,669663.5361896403
128,Fremont ,16633.0,37.548269700000006,-121.98857190000001,669663.5361896403
984,Aventura ,36854.0,25.953257,-80.13664587,668762.2761730386
1541,Alamo ,18797.0,37.8502033,-122.03218400000002,668186.0619454728
1530,Marshfield ,18997.0,44.6688524,-90.17179870000001,665843.058779982
2028,Morro Bay ,10284.0,35.3658075,-120.8499013,659876.0170355482
1373,University Park ,23421.0,40.8005307,-77.8624447,655298.5352971705
82,Anaheim ,340830.0,33.8347516,-117.911732,650267.6639725587
1059,San Dimas ,33595.0,34.1066756,-117.8067257,650228.6607980102
955,Annapolis ,38478.0,38.9786401,-76.492786,648565.5681367689
1672,Truckee ,16171.0,39.327962,-120.1832533,648157.8777531693
588,Camarillo ,65670.0,34.2163939,-119.0376024,648110.0473208092
1772,Greenwood Village ,14232.0,39.6172101,-104.95081409999999,647493.5312037104
490,Napa ,77777.0,38.2891775,-122.29370630000001,643628.352615667
214,Hayward ,147030.0,37.6688205,-122.08079640000001,637541.2141457833
813,Edina ,48636.0,44.8897027,-93.3501222,634841.7103375492
707,Redmond ,55501.0,47.6694141,-122.1238767,633976.2150651682
