name,date,value
Afghanistan,2020-03-22,1.0
Afghanistan,2020-03-23,1.0
Afghanistan,2020-03-24,1.0
Afghanistan,2020-03-25,2.0
Afghanistan,2020-03-26,4.0
Afghanistan,2020-03-27,4.0
Albania,2020-03-11,1.0
Albania,2020-03-12,1.0
Albania,2020-03-13,1.0
Albania,2020-03-14,1.0
Albania,2020-03-15,1.0
Albania,2020-03-16,1.0
Albania,2020-03-17,1.0
Albania,2020-03-18,2.0
Albania,2020-03-19,2.0
Albania,2020-03-20,2.0
Albania,2020-03-21,2.0
Albania,2020-03-22,2.0
Albania,2020-03-23,4.0
Albania,2020-03-24,5.0
Albania,2020-03-25,5.0
Albania,2020-03-26,6.0
Albania,2020-03-27,8.0
Algeria,2020-03-12,1.0
Algeria,2020-03-13,2.0
Algeria,2020-03-14,3.0
Algeria,2020-03-15,4.0
Algeria,2020-03-16,4.0
Algeria,2020-03-17,4.0
Algeria,2020-03-18,7.0
Algeria,2020-03-19,9.0
Algeria,2020-03-20,11.0
Algeria,2020-03-21,15.0
Algeria,2020-03-22,17.0
Algeria,2020-03-23,17.0
Algeria,2020-03-24,19.0
Algeria,2020-03-25,21.0
Algeria,2020-03-26,25.0
Algeria,2020-03-27,26.0
Andorra,2020-03-22,1.0
Andorra,2020-03-23,1.0
Andorra,2020-03-24,1.0
Andorra,2020-03-25,1.0
Andorra,2020-03-26,3.0
Andorra,2020-03-27,3.0
Argentina,2020-03-08,1.0
Argentina,2020-03-09,1.0
Argentina,2020-03-10,1.0
Argentina,2020-03-11,1.0
Argentina,2020-03-12,1.0
Argentina,2020-03-13,2.0
Argentina,2020-03-14,2.0
Argentina,2020-03-15,2.0
Argentina,2020-03-16,2.0
Argentina,2020-03-17,2.0
Argentina,2020-03-18,2.0
Argentina,2020-03-19,3.0
Argentina,2020-03-20,3.0
Argentina,2020-03-21,4.0
Argentina,2020-03-22,4.0
Argentina,2020-03-23,4.0
Argentina,2020-03-24,6.0
Argentina,2020-03-25,8.0
Argentina,2020-03-26,9.0
Argentina,2020-03-27,13.0
Armenia,2020-03-26,1.0
Armenia,2020-03-27,1.0
Australia,2020-03-01,1.0
Australia,2020-03-02,1.0
Australia,2020-03-03,1.0
Australia,2020-03-04,2.0
Australia,2020-03-05,2.0
Australia,2020-03-06,2.0
Australia,2020-03-07,2.0
Australia,2020-03-08,3.0
Australia,2020-03-09,3.0
Australia,2020-03-10,3.0
Australia,2020-03-11,3.0
Australia,2020-03-12,3.0
Australia,2020-03-13,3.0
Australia,2020-03-14,3.0
Australia,2020-03-15,3.0
Australia,2020-03-16,3.0
Australia,2020-03-17,5.0
Australia,2020-03-18,6.0
Australia,2020-03-19,6.0
Australia,2020-03-20,7.0
Australia,2020-03-21,7.0
Australia,2020-03-22,7.0
Australia,2020-03-23,7.0
Australia,2020-03-24,8.0
Australia,2020-03-25,8.0
Australia,2020-03-26,13.0
Australia,2020-03-27,13.0
Austria,2020-03-12,1.0
Austria,2020-03-13,1.0
Austria,2020-03-14,1.0
Austria,2020-03-15,1.0
Austria,2020-03-16,3.0
Austria,2020-03-17,3.0
Austria,2020-03-18,4.0
Austria,2020-03-19,6.0
Austria,2020-03-20,6.0
Austria,2020-03-21,8.0
Austria,2020-03-22,16.0
Austria,2020-03-23,21.0
Austria,2020-03-24,28.0
Austria,2020-03-25,30.0
Austria,2020-03-26,49.0
Austria,2020-03-27,58.0
Azerbaijan,2020-03-13,1.0
Azerbaijan,2020-03-14,1.0
Azerbaijan,2020-03-15,1.0
Azerbaijan,2020-03-16,1.0
Azerbaijan,2020-03-17,1.0
Azerbaijan,2020-03-18,1.0
Azerbaijan,2020-03-19,1.0
Azerbaijan,2020-03-20,1.0
Azerbaijan,2020-03-21,1.0
Azerbaijan,2020-03-22,1.0
Azerbaijan,2020-03-23,1.0
Azerbaijan,2020-03-24,1.0
Azerbaijan,2020-03-25,2.0
Azerbaijan,2020-03-26,3.0
Azerbaijan,2020-03-27,3.0
Bahrain,2020-03-16,1.0
Bahrain,2020-03-17,1.0
Bahrain,2020-03-18,1.0
Bahrain,2020-03-19,1.0
Bahrain,2020-03-20,1.0
Bahrain,2020-03-21,1.0
Bahrain,2020-03-22,2.0
Bahrain,2020-03-23,2.0
Bahrain,2020-03-24,3.0
Bahrain,2020-03-25,4.0
Bahrain,2020-03-26,4.0
Bahrain,2020-03-27,4.0
Bangladesh,2020-03-18,1.0
Bangladesh,2020-03-19,1.0
Bangladesh,2020-03-20,1.0
Bangladesh,2020-03-21,2.0
Bangladesh,2020-03-22,2.0
Bangladesh,2020-03-23,3.0
Bangladesh,2020-03-24,4.0
Bangladesh,2020-03-25,5.0
Bangladesh,2020-03-26,5.0
Bangladesh,2020-03-27,5.0
Belgium,2020-03-11,3.0
Belgium,2020-03-12,3.0
Belgium,2020-03-13,3.0
Belgium,2020-03-14,4.0
Belgium,2020-03-15,4.0
Belgium,2020-03-16,5.0
Belgium,2020-03-17,10.0
Belgium,2020-03-18,14.0
Belgium,2020-03-19,21.0
Belgium,2020-03-20,37.0
Belgium,2020-03-21,67.0
Belgium,2020-03-22,75.0
Belgium,2020-03-23,88.0
Belgium,2020-03-24,122.0
Belgium,2020-03-25,178.0
Belgium,2020-03-26,220.0
Belgium,2020-03-27,289.0
Bosnia and Herzegovina,2020-03-21,1.0
Bosnia and Herzegovina,2020-03-22,1.0
Bosnia and Herzegovina,2020-03-23,1.0
Bosnia and Herzegovina,2020-03-24,3.0
Bosnia and Herzegovina,2020-03-25,3.0
Bosnia and Herzegovina,2020-03-26,3.0
Bosnia and Herzegovina,2020-03-27,4.0
Brazil,2020-03-17,1.0
Brazil,2020-03-18,3.0
Brazil,2020-03-19,6.0
Brazil,2020-03-20,11.0
Brazil,2020-03-21,15.0
Brazil,2020-03-22,25.0
Brazil,2020-03-23,34.0
Brazil,2020-03-24,46.0
Brazil,2020-03-25,59.0
Brazil,2020-03-26,77.0
Brazil,2020-03-27,92.0
Bulgaria,2020-03-11,1.0
Bulgaria,2020-03-12,1.0
Bulgaria,2020-03-13,1.0
Bulgaria,2020-03-14,2.0
Bulgaria,2020-03-15,2.0
Bulgaria,2020-03-16,2.0
Bulgaria,2020-03-17,2.0
Bulgaria,2020-03-18,2.0
Bulgaria,2020-03-19,3.0
Bulgaria,2020-03-20,3.0
Bulgaria,2020-03-21,3.0
Bulgaria,2020-03-22,3.0
Bulgaria,2020-03-23,3.0
Bulgaria,2020-03-24,3.0
Bulgaria,2020-03-25,3.0
Bulgaria,2020-03-26,3.0
Bulgaria,2020-03-27,3.0
Burkina Faso,2020-03-18,1.0
Burkina Faso,2020-03-19,1.0
Burkina Faso,2020-03-20,1.0
Burkina Faso,2020-03-21,2.0
Burkina Faso,2020-03-22,4.0
Burkina Faso,2020-03-23,4.0
Burkina Faso,2020-03-24,4.0
Burkina Faso,2020-03-25,4.0
Burkina Faso,2020-03-26,7.0
Burkina Faso,2020-03-27,9.0
Cabo Verde,2020-03-24,1.0
Cabo Verde,2020-03-25,1.0
Cabo Verde,2020-03-26,1.0
Cabo Verde,2020-03-27,1.0
Cameroon,2020-03-25,1.0
Cameroon,2020-03-26,1.0
Cameroon,2020-03-27,2.0
Canada,2020-03-09,1.0
Canada,2020-03-10,1.0
Canada,2020-03-11,1.0
Canada,2020-03-12,1.0
Canada,2020-03-13,1.0
Canada,2020-03-14,1.0
Canada,2020-03-15,1.0
Canada,2020-03-16,4.0
Canada,2020-03-17,5.0
Canada,2020-03-18,8.0
Canada,2020-03-19,9.0
Canada,2020-03-20,12.0
Canada,2020-03-21,19.0
Canada,2020-03-22,20.0
Canada,2020-03-23,24.0
Canada,2020-03-24,25.0
Canada,2020-03-25,29.0
Canada,2020-03-26,37.0
Canada,2020-03-27,53.0
Chile,2020-03-22,1.0
Chile,2020-03-23,2.0
Chile,2020-03-24,2.0
Chile,2020-03-25,3.0
Chile,2020-03-26,4.0
Chile,2020-03-27,5.0
China,2020-01-22,17.0
China,2020-01-23,18.0
China,2020-01-24,26.0
China,2020-01-25,42.0
China,2020-01-26,56.0
China,2020-01-27,82.0
China,2020-01-28,131.0
China,2020-01-29,133.0
China,2020-01-30,171.0
China,2020-01-31,213.0
China,2020-02-01,259.0
China,2020-02-02,361.0
China,2020-02-03,425.0
China,2020-02-04,491.0
China,2020-02-05,563.0
China,2020-02-06,633.0
China,2020-02-07,718.0
China,2020-02-08,805.0
China,2020-02-09,905.0
China,2020-02-10,1012.0
China,2020-02-11,1112.0
China,2020-02-12,1117.0
China,2020-02-13,1369.0
China,2020-02-14,1521.0
China,2020-02-15,1663.0
China,2020-02-16,1766.0
China,2020-02-17,1864.0
China,2020-02-18,2003.0
China,2020-02-19,2116.0
China,2020-02-20,2238.0
China,2020-02-21,2238.0
China,2020-02-22,2443.0
China,2020-02-23,2445.0
China,2020-02-24,2595.0
China,2020-02-25,2665.0
China,2020-02-26,2717.0
China,2020-02-27,2746.0
China,2020-02-28,2790.0
China,2020-02-29,2837.0
China,2020-03-01,2872.0
China,2020-03-02,2914.0
China,2020-03-03,2947.0
China,2020-03-04,2983.0
China,2020-03-05,3015.0
China,2020-03-06,3044.0
China,2020-03-07,3072.0
China,2020-03-08,3100.0
China,2020-03-09,3123.0
China,2020-03-10,3139.0
China,2020-03-11,3161.0
China,2020-03-12,3172.0
China,2020-03-13,3180.0
China,2020-03-14,3193.0
China,2020-03-15,3203.0
China,2020-03-16,3217.0
China,2020-03-17,3230.0
China,2020-03-18,3241.0
China,2020-03-19,3249.0
China,2020-03-20,3253.0
China,2020-03-21,3259.0
China,2020-03-22,3274.0
China,2020-03-23,3274.0
China,2020-03-24,3281.0
China,2020-03-25,3285.0
China,2020-03-26,3291.0
China,2020-03-27,3296.0
Colombia,2020-03-22,2.0
Colombia,2020-03-23,3.0
Colombia,2020-03-24,3.0
Colombia,2020-03-25,4.0
Colombia,2020-03-26,6.0
Colombia,2020-03-27,6.0
Congo (Kinshasa),2020-03-21,1.0
Congo (Kinshasa),2020-03-22,1.0
Congo (Kinshasa),2020-03-23,1.0
Congo (Kinshasa),2020-03-24,2.0
Congo (Kinshasa),2020-03-25,2.0
Congo (Kinshasa),2020-03-26,3.0
Congo (Kinshasa),2020-03-27,3.0
Costa Rica,2020-03-19,1.0
Costa Rica,2020-03-20,1.0
Costa Rica,2020-03-21,2.0
Costa Rica,2020-03-22,2.0
Costa Rica,2020-03-23,2.0
Costa Rica,2020-03-24,2.0
Costa Rica,2020-03-25,2.0
Costa Rica,2020-03-26,2.0
Costa Rica,2020-03-27,2.0
Croatia,2020-03-19,1.0
Croatia,2020-03-20,1.0
Croatia,2020-03-21,1.0
Croatia,2020-03-22,1.0
Croatia,2020-03-23,1.0
Croatia,2020-03-24,1.0
Croatia,2020-03-25,1.0
Croatia,2020-03-26,3.0
Croatia,2020-03-27,3.0
Cuba,2020-03-18,1.0
Cuba,2020-03-19,1.0
Cuba,2020-03-20,1.0
Cuba,2020-03-21,1.0
Cuba,2020-03-22,1.0
Cuba,2020-03-23,1.0
Cuba,2020-03-24,1.0
Cuba,2020-03-25,1.0
Cuba,2020-03-26,2.0
Cuba,2020-03-27,2.0
Cyprus,2020-03-22,1.0
Cyprus,2020-03-23,1.0
Cyprus,2020-03-24,3.0
Cyprus,2020-03-25,3.0
Cyprus,2020-03-26,3.0
Cyprus,2020-03-27,5.0
Czechia,2020-03-22,1.0
Czechia,2020-03-23,1.0
Czechia,2020-03-24,3.0
Czechia,2020-03-25,6.0
Czechia,2020-03-26,9.0
Czechia,2020-03-27,9.0
Denmark,2020-03-14,1.0
Denmark,2020-03-15,2.0
Denmark,2020-03-16,3.0
Denmark,2020-03-17,4.0
Denmark,2020-03-18,4.0
Denmark,2020-03-19,6.0
Denmark,2020-03-20,9.0
Denmark,2020-03-21,13.0
Denmark,2020-03-22,13.0
Denmark,2020-03-23,24.0
Denmark,2020-03-24,32.0
Denmark,2020-03-25,34.0
Denmark,2020-03-26,41.0
Denmark,2020-03-27,52.0
Diamond Princess,2020-02-20,2.0
Diamond Princess,2020-02-21,2.0
Diamond Princess,2020-02-22,2.0
Diamond Princess,2020-02-23,3.0
Diamond Princess,2020-02-24,3.0
Diamond Princess,2020-02-25,3.0
Diamond Princess,2020-02-26,4.0
Diamond Princess,2020-02-27,4.0
Diamond Princess,2020-02-28,6.0
Diamond Princess,2020-02-29,6.0
Diamond Princess,2020-03-01,6.0
Diamond Princess,2020-03-02,6.0
Diamond Princess,2020-03-03,6.0
Diamond Princess,2020-03-04,6.0
Diamond Princess,2020-03-05,6.0
Diamond Princess,2020-03-06,6.0
Diamond Princess,2020-03-07,6.0
Diamond Princess,2020-03-08,6.0
Diamond Princess,2020-03-09,6.0
Diamond Princess,2020-03-10,6.0
Diamond Princess,2020-03-11,7.0
Diamond Princess,2020-03-12,7.0
Diamond Princess,2020-03-13,7.0
Diamond Princess,2020-03-14,7.0
Diamond Princess,2020-03-15,7.0
Diamond Princess,2020-03-16,7.0
Diamond Princess,2020-03-17,7.0
Diamond Princess,2020-03-18,7.0
Diamond Princess,2020-03-19,7.0
Diamond Princess,2020-03-20,7.0
Diamond Princess,2020-03-21,8.0
Diamond Princess,2020-03-22,8.0
Diamond Princess,2020-03-23,8.0
Diamond Princess,2020-03-24,10.0
Diamond Princess,2020-03-25,10.0
Diamond Princess,2020-03-26,10.0
Diamond Princess,2020-03-27,10.0
Dominican Republic,2020-03-17,1.0
Dominican Republic,2020-03-18,1.0
Dominican Republic,2020-03-19,2.0
Dominican Republic,2020-03-20,2.0
Dominican Republic,2020-03-21,2.0
Dominican Republic,2020-03-22,3.0
Dominican Republic,2020-03-23,3.0
Dominican Republic,2020-03-24,6.0
Dominican Republic,2020-03-25,10.0
Dominican Republic,2020-03-26,10.0
Dominican Republic,2020-03-27,20.0
Ecuador,2020-03-14,2.0
Ecuador,2020-03-15,2.0
Ecuador,2020-03-16,2.0
Ecuador,2020-03-17,2.0
Ecuador,2020-03-18,2.0
Ecuador,2020-03-19,3.0
Ecuador,2020-03-20,5.0
Ecuador,2020-03-21,7.0
Ecuador,2020-03-22,14.0
Ecuador,2020-03-23,18.0
Ecuador,2020-03-24,27.0
Ecuador,2020-03-25,28.0
Ecuador,2020-03-26,34.0
Ecuador,2020-03-27,36.0
Egypt,2020-03-08,1.0
Egypt,2020-03-09,1.0
Egypt,2020-03-10,1.0
Egypt,2020-03-11,1.0
Egypt,2020-03-12,1.0
