TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,AMT_CREDIT,DAYS_LAST_PHONE_CHANGE,OWN_CAR_AGE
0,Revolving loans,F,N,Y,0,157500.0,450000.0,22500.0,22456,365243,450000.0,-379.0,
0,Cash loans,F,N,Y,0,90000.0,239850.0,22540.5,19506,365243,239850.0,-469.0,
0,Cash loans,F,Y,Y,2,171000.0,314055.0,13963.5,10245,-2418,314055.0,-1860.0,64.0
0,Cash loans,F,N,N,0,112500.0,341280.0,9000.0,9349,-1282,341280.0,-366.0,
0,Cash loans,F,N,N,1,180000.0,1078200.0,31522.5,13464,-1405,1078200.0,-198.0,
0,Cash loans,F,N,Y,0,117000.0,728460.0,40806.0,23607,365243,728460.0,-317.0,
0,Cash loans,F,N,Y,2,67500.0,50940.0,5089.5,15835,-835,50940.0,-909.0,
0,Cash loans,M,Y,Y,0,292500.0,675000.0,53329.5,11278,-938,675000.0,-2322.0,1.0
0,Cash loans,F,N,N,0,157500.0,481320.0,13234.5,16169,-277,481320.0,-2435.0,
0,Revolving loans,F,N,N,0,72000.0,180000.0,9000.0,9353,-505,180000.0,-396.0,
0,Revolving loans,M,Y,N,0,405000.0,450000.0,22500.0,17069,-102,450000.0,-739.0,2.0
0,Cash loans,F,N,N,1,225000.0,607050.0,48091.5,15137,-8192,607050.0,-2534.0,
0,Cash loans,M,Y,Y,0,120150.0,1042560.0,58347.0,19079,-1898,1042560.0,-1292.0,10.0
0,Cash loans,F,N,Y,0,99000.0,571486.5,25173.0,20920,365243,571486.5,-1301.0,
0,Cash loans,M,Y,N,0,135000.0,1078200.0,31653.0,15331,-2829,1078200.0,-703.0,18.0
0,Revolving loans,F,N,N,0,135000.0,225000.0,11250.0,15166,-1698,225000.0,0.0,
0,Cash loans,F,N,Y,1,90000.0,495000.0,17910.0,14137,-3659,495000.0,-378.0,
0,Cash loans,F,Y,Y,2,90000.0,651600.0,36513.0,14901,-159,651600.0,-899.0,7.0
0,Cash loans,F,N,N,1,360000.0,912240.0,35631.0,9869,-2536,912240.0,0.0,
0,Cash loans,F,N,Y,1,67500.0,886176.0,31828.5,14573,-182,886176.0,-2448.0,
0,Cash loans,F,N,Y,0,112500.0,260568.0,25515.0,22086,365243,260568.0,-2398.0,
0,Cash loans,F,N,Y,0,162000.0,1024740.0,52452.0,17415,-3222,1024740.0,-2447.0,
0,Cash loans,F,Y,Y,0,112500.0,254700.0,25447.5,14682,-2274,254700.0,-90.0,23.0
0,Cash loans,F,N,N,0,45000.0,225000.0,11488.5,10035,-113,225000.0,-1154.0,
0,Cash loans,F,N,Y,0,54900.0,152820.0,15016.5,24150,365243,152820.0,-403.0,
0,Cash loans,F,N,N,0,135000.0,288562.5,28242.0,21595,365243,288562.5,-1534.0,
0,Cash loans,F,Y,N,1,126000.0,862560.0,25348.5,15495,-4418,862560.0,-1527.0,6.0
0,Cash loans,F,N,Y,0,90000.0,170640.0,9526.5,24137,365243,170640.0,-1185.0,
0,Cash loans,M,Y,Y,0,120505.5,157500.0,5998.5,11576,-3266,157500.0,-1048.0,35.0
0,Cash loans,F,N,Y,0,193500.0,1345500.0,57006.0,15471,-3161,1345500.0,-1661.0,
0,Cash loans,F,N,Y,0,121500.0,472500.0,44991.0,21151,365243,472500.0,-1108.0,
0,Cash loans,F,N,Y,0,225000.0,1528200.0,53248.5,13041,-4016,1528200.0,-373.0,
0,Cash loans,F,N,N,0,157500.0,900000.0,38133.0,12421,-2065,900000.0,-1574.0,
0,Cash loans,F,N,N,0,99000.0,104256.0,11074.5,12906,-1429,104256.0,0.0,
0,Cash loans,F,N,N,0,180000.0,679500.0,28786.5,19034,-5444,679500.0,-845.0,
0,Cash loans,M,N,N,0,202500.0,612612.0,29601.0,8223,-349,612612.0,-533.0,
0,Revolving loans,M,Y,N,0,225000.0,405000.0,20250.0,21805,-5144,405000.0,-63.0,10.0
0,Cash loans,F,N,Y,1,126000.0,66222.0,6678.0,10454,-294,66222.0,0.0,
0,Cash loans,F,N,Y,0,121500.0,1305000.0,40977.0,20925,365243,1305000.0,-2343.0,
0,Cash loans,M,N,N,0,315000.0,675000.0,18693.0,8874,-95,675000.0,-612.0,
0,Cash loans,F,Y,N,0,81000.0,112500.0,12820.5,19883,-148,112500.0,0.0,8.0
0,Cash loans,F,N,Y,0,117000.0,330048.0,12573.0,19732,-6980,330048.0,-168.0,
0,Cash loans,F,N,N,0,202500.0,490495.5,28287.0,20901,365243,490495.5,-1515.0,
0,Cash loans,F,N,Y,0,112500.0,225000.0,21919.5,24590,365243,225000.0,-2266.0,
0,Cash loans,M,Y,Y,0,135000.0,862560.0,27954.0,13950,-2696,862560.0,-2.0,19.0
0,Cash loans,F,Y,Y,1,382500.0,252000.0,27270.0,11552,-967,252000.0,-1895.0,2.0
0,Cash loans,F,N,Y,0,180000.0,1288350.0,37800.0,14301,-1990,1288350.0,-1674.0,
0,Cash loans,F,N,Y,4,72000.0,152820.0,10210.5,12814,-1986,152820.0,-292.0,
0,Revolving loans,M,Y,Y,1,157500.0,270000.0,13500.0,9415,-78,270000.0,-1600.0,2.0
0,Cash loans,F,N,Y,0,121500.0,668304.0,29565.0,20602,-138,668304.0,-276.0,
0,Cash loans,M,Y,N,2,171000.0,568800.0,16429.5,15350,-3301,568800.0,-837.0,22.0
0,Cash loans,F,N,Y,0,112500.0,450000.0,21780.0,19726,-133,450000.0,-645.0,
0,Cash loans,F,N,Y,0,189000.0,651600.0,28831.5,16274,-344,651600.0,-1273.0,
0,Cash loans,F,Y,N,0,225000.0,454500.0,44275.5,13922,-579,454500.0,-2223.0,8.0
0,Cash loans,F,N,N,0,90000.0,900000.0,26446.5,21977,365243,900000.0,-877.0,
0,Cash loans,F,N,Y,0,247500.0,450000.0,35685.0,15538,-990,450000.0,-2601.0,
0,Cash loans,F,N,N,0,157500.0,312768.0,20353.5,9137,-386,312768.0,-160.0,
0,Cash loans,F,N,Y,0,270000.0,295452.0,31950.0,17681,-5649,295452.0,-1313.0,
0,Cash loans,F,Y,N,0,135000.0,509400.0,34173.0,15509,-4199,509400.0,-404.0,13.0
0,Cash loans,M,Y,Y,0,450000.0,1800000.0,68562.0,20808,-6160,1800000.0,-1288.0,16.0
0,Cash loans,F,Y,Y,0,382500.0,1256400.0,33273.0,20245,-4500,1256400.0,-497.0,12.0
0,Cash loans,F,N,Y,0,67500.0,848745.0,36090.0,14216,-755,848745.0,-375.0,
0,Revolving loans,M,Y,Y,0,202500.0,540000.0,27000.0,22759,365243,540000.0,-554.0,3.0
0,Cash loans,F,N,Y,0,112500.0,454500.0,21865.5,17483,-387,454500.0,-503.0,
0,Cash loans,F,N,N,0,225000.0,629325.0,30276.0,14634,-4181,629325.0,-1959.0,
0,Cash loans,F,N,Y,0,112500.0,152820.0,15016.5,13738,-4732,152820.0,-780.0,
0,Cash loans,M,Y,Y,0,337500.0,1886850.0,51885.0,12503,-3233,1886850.0,-2909.0,21.0
0,Cash loans,F,Y,N,0,270000.0,675000.0,19737.0,19699,365243,675000.0,-1603.0,41.0
0,Cash loans,F,N,Y,0,135000.0,704844.0,36117.0,23301,-3406,704844.0,-601.0,
0,Revolving loans,F,N,Y,0,382500.0,585000.0,29250.0,19919,-11807,585000.0,-341.0,
0,Cash loans,F,N,Y,1,202500.0,545040.0,30564.0,17648,-514,545040.0,0.0,
0,Cash loans,F,N,Y,0,81000.0,127350.0,12532.5,20212,-1871,127350.0,-1187.0,
0,Cash loans,F,Y,Y,0,135000.0,835605.0,26955.0,16501,-458,835605.0,-725.0,16.0
0,Cash loans,F,Y,Y,1,126000.0,595903.5,30555.0,16701,-2157,595903.5,-723.0,6.0
0,Revolving loans,M,Y,Y,1,202500.0,180000.0,9000.0,9613,-2172,180000.0,-1490.0,6.0
0,Cash loans,M,Y,N,0,225000.0,1260000.0,34780.5,21688,-4568,1260000.0,-1843.0,9.0
0,Cash loans,F,N,Y,0,49500.0,675000.0,19476.0,21829,365243,675000.0,0.0,
0,Cash loans,F,N,Y,0,67500.0,381528.0,14512.5,22082,365243,381528.0,0.0,
0,Cash loans,F,N,Y,0,247500.0,1006920.0,39933.0,15077,-850,1006920.0,-15.0,
0,Cash loans,M,N,Y,0,112500.0,900000.0,26446.5,18871,-3482,900000.0,-1980.0,
0,Cash loans,F,Y,N,1,202500.0,545040.0,25537.5,14651,-698,545040.0,0.0,25.0
0,Revolving loans,F,Y,N,1,225000.0,630000.0,31500.0,14780,-2498,630000.0,-1.0,4.0
0,Cash loans,M,Y,Y,1,360000.0,1125000.0,36423.0,14483,-1652,1125000.0,-1426.0,13.0
0,Cash loans,F,N,Y,0,90000.0,157500.0,16839.0,14771,-2533,157500.0,-317.0,
0,Cash loans,F,Y,Y,0,180000.0,1223010.0,51948.0,15219,-2932,1223010.0,0.0,6.0
0,Cash loans,M,N,Y,0,90000.0,222547.5,15489.0,21907,365243,222547.5,-43.0,
0,Cash loans,F,Y,Y,2,207000.0,294322.5,17023.5,21153,365243,294322.5,-502.0,25.0
0,Cash loans,F,N,Y,0,135000.0,177768.0,11002.5,17207,-2796,177768.0,-2395.0,
0,Cash loans,F,N,Y,0,135000.0,735003.0,32373.0,21634,365243,735003.0,0.0,
