,metro,zips,avg_price_97,max_price_97,min_price_97,std_price_97,avg_price_19,max_price_19,min_price_19,std_price_19
0,,0,,,,,,,,
1,Asheville,37,112150.16666666667,145499.0,145499.0,21011.43079770311,271479.7027027027,422654.0,422654.0,60166.75393523905
2,Warsaw,15,96090.0,136083.0,136083.0,25276.57452449417,162528.4,238676.0,238676.0,43516.0413998595
3,Seneca Falls,9,54186.375,68624.0,68624.0,7980.17531023867,120234.44444444444,183290.0,183290.0,31534.463675124996
4,Durango,5,,,,,400394.2,504965.0,504965.0,84268.05434564156
5,Washington Court House,4,64707.333333333336,69804.0,69804.0,4506.673754925392,91835.0,114724.0,114724.0,26237.763763959254
6,Little Rock-North Little Rock-Conway,61,87286.42857142857,228599.0,228599.0,37551.46481608053,140604.81967213115,341556.0,341556.0,63870.33932859816
7,Ardmore,11,38077.857142857145,55351.0,55351.0,10333.16704320883,75403.90909090909,123957.0,123957.0,27624.475015661545
8,Fremont,20,73081.0,96917.0,96917.0,18487.086640259044,118637.5,177387.0,177387.0,33214.26599884612
9,Wahpeton,19,,,,,126073.1052631579,210224.0,210224.0,43520.38092650734
10,New Bern,18,82189.4,121246.0,121246.0,26422.121154441782,130386.77777777778,280505.0,280505.0,62860.46580422534
11,Bastrop,6,35236.5,45303.0,45303.0,8702.376782619027,64796.833333333336,99543.0,99543.0,22909.922701019022
12,Huntington,5,,,,,148244.6,220474.0,220474.0,47868.824602239816
13,Montrose,8,88062.8,130914.0,130914.0,27272.718221695468,204947.125,366471.0,366471.0,87072.55631194268
14,Charleston-North Charleston,42,162281.72,537224.0,537224.0,109316.61304955743,351012.1666666667,1951394.0,1951394.0,340263.91071156465
15,Canton-Massillon,40,87304.24137931035,161250.0,161250.0,25513.14505120725,123252.3,244073.0,244073.0,51068.5454468946
16,Faribault-Northfield,8,120099.85714285714,171144.0,171144.0,26907.937827764825,265791.375,439623.0,439623.0,83903.80934130549
17,Defiance,7,61484.28571428572,76813.0,76813.0,8233.28933283018,107414.42857142857,134829.0,134829.0,25624.177384240993
18,Carson City,5,158591.8,196946.0,196946.0,34489.53046505563,383674.4,463406.0,463406.0,75015.40083742804
19,Brownsville,2,56055.5,59787.0,59787.0,5277.137907995204,86918.0,87144.0,87144.0,319.6122650963195
20,Scottsboro,18,54363.0,54363.0,54363.0,,104539.16666666667,167210.0,167210.0,26525.884883504663
21,Tupelo,19,,,,,112485.47368421052,172358.0,172358.0,27121.25253246657
22,New Castle,30,58908.333333333336,61267.0,61267.0,2055.685368273397,107956.93333333333,181661.0,181661.0,35172.343150336994
23,Clinton,14,,,,,135187.7142857143,218169.0,218169.0,40906.540028983836
24,Toccoa,2,56209.5,57899.0,57899.0,2389.313813629344,108857.5,110470.0,110470.0,2280.4193693266157
25,Selma,6,52510.25,78723.0,78723.0,28780.99518055853,56976.833333333336,88200.0,88200.0,19174.238398608344
26,Winchester,28,103430.5,146994.0,146994.0,46755.79161629783,202321.57142857142,333948.0,333948.0,70341.86927108395
27,Helena-West Helena,7,23519.5,25489.0,25489.0,2785.293611093811,53968.57142857143,145459.0,145459.0,41410.50200475375
28,Hastings,7,,,,,166300.42857142858,246200.0,246200.0,55776.60798774921
29,Greeley,30,159973.40740740742,283727.0,283727.0,37794.93719275848,377774.76666666666,535420.0,535420.0,61246.537483373686
30,Prescott,28,122464.38095238095,254308.0,254308.0,49615.93723641244,275337.75,597799.0,597799.0,114637.28968993337
31,Kingston,55,119081.47916666667,203989.0,203989.0,27137.889710042862,257090.8,462452.0,462452.0,66305.62516872016
32,Gettysburg,14,97677.07142857143,113108.0,113108.0,10261.131482550929,198301.42857142858,231025.0,231025.0,24399.43522900695
33,Rapid City,22,,,,,207351.54545454544,336947.0,336947.0,61583.014566655336
34,Albert Lea,11,,,,,108628.72727272728,144108.0,144108.0,23234.980955838586
35,Lawrence,7,99005.0,99005.0,99005.0,,221251.14285714287,265352.0,265352.0,31026.391800253812
36,Glens Falls,38,73056.5,145126.0,145126.0,27908.993258368388,265398.36842105264,1136275.0,1136275.0,232378.776276476
37,Killeen-Temple,27,,,,,156424.7037037037,309402.0,309402.0,57128.137065732684
38,Coldwater,6,61806.4,71443.0,71443.0,7122.541947928422,111881.16666666667,134601.0,134601.0,17173.26372494951
39,Amarillo,24,,,,,144357.29166666666,290591.0,290591.0,69028.01032944284
40,Greensboro-High Point,43,103369.47619047618,216065.0,216065.0,38604.86895946505,160266.83720930232,372593.0,372593.0,64502.734352868145
41,Decatur,37,69726.2,108530.0,108530.0,23075.98610460667,122076.5945945946,209622.0,209622.0,35326.949106768225
42,Show Low,13,71385.7,107256.0,107256.0,20979.162900628595,199585.46153846153,306009.0,306009.0,61699.70108330535
43,Merced,19,125042.75,187787.0,187787.0,41858.531757775105,269467.0,375245.0,375245.0,56594.36710289972
44,Dayton,62,89540.26829268293,167299.0,167299.0,36353.205626893745,142218.83870967742,301228.0,301228.0,60425.349339438915
45,Valdosta,15,66701.11111111111,101802.0,101802.0,24569.158458545364,116603.06666666667,173435.0,173435.0,37924.32156369665
46,Baraboo,12,110645.0,121661.0,121661.0,15578.976603102015,212945.41666666666,312063.0,312063.0,61578.7187183399
47,Brainerd,23,99486.0,112548.0,112548.0,18472.45755171737,206313.30434782608,322020.0,322020.0,60961.34387643816
48,Greenwood,17,45896.2,60495.0,60495.0,13254.181291200146,83524.70588235294,156924.0,156924.0,40866.61212677885
49,Scranton--Wilkes-Barre--Hazleton,73,77980.23529411765,120100.0,120100.0,21061.388969792526,129054.23287671233,290033.0,290033.0,47673.02674105504
50,Norfolk,12,,,,,140442.58333333334,263514.0,263514.0,50552.90175730107
51,Junction City,2,,,,,186230.0,232796.0,232796.0,65854.26874546554
52,Vernal,7,,,,,218788.57142857142,244914.0,244914.0,23675.592494220306
53,Abilene,23,,,,,124971.08695652174,266560.0,266560.0,55738.9011438095
54,Montgomery,38,116436.2,273547.0,273547.0,65088.716187256774,129121.52631578948,323236.0,323236.0,75263.94083983732
55,Lebanon,23,110792.25,124842.0,124842.0,10960.51800403004,178543.8260869565,252721.0,252721.0,30272.5381727883
56,New Haven-Milford,41,144275.11111111112,266725.0,266725.0,50490.60959101004,252258.65853658537,481293.0,481293.0,88047.70307413184
57,Big Spring,4,,,,,146873.75,246667.0,246667.0,67336.33995288132
58,Arkansas City-Winfield,9,,,,,112610.22222222222,162736.0,162736.0,28851.14690864896
59,Astoria,6,,,,,478095.1666666667,642684.0,642684.0,166543.48500426745
60,Taos,14,,,,,294647.78571428574,438317.0,438317.0,77984.9441052848
61,Kalamazoo-Portage,29,110902.78947368421,154559.0,154559.0,26402.376857604962,163556.37931034484,255683.0,255683.0,50469.30656095685
62,Sulphur Springs,7,,,,,132967.14285714287,152572.0,152572.0,10931.747671020272
63,Seattle-Tacoma-Bellevue,160,189033.90967741935,651895.0,651895.0,73594.8326690753,588834.0,2916471.0,2916471.0,337096.4930649558
64,Santa Rosa,37,232192.27272727274,393355.0,393355.0,58606.74540436489,658639.2162162162,934375.0,934375.0,162007.65991392286
65,Urbana,9,77236.77777777778,98941.0,98941.0,16218.780770897807,131847.22222222222,179509.0,179509.0,32422.785891166794
66,Laurinburg,5,49778.6,56847.0,56847.0,6105.864009294672,68363.4,78143.0,78143.0,7988.823962261279
67,Pecos,2,,,,,100603.0,107987.0,107987.0,10442.552944562934
68,Central City,11,,,,,76599.72727272728,102805.0,102805.0,13618.38132151475
69,Greensburg,4,,,,,130482.75,160526.0,160526.0,23963.61030639304
70,Burlington,23,125208.5,155009.0,155009.0,29121.74230708046,125430.08695652174,206878.0,206878.0,48339.733446920945
71,Sidney,11,80168.0,102867.0,102867.0,15856.16758376514,143398.0909090909,206333.0,206333.0,48642.804478061385
72,Effingham,10,,,,,106356.9,182630.0,182630.0,41331.8866291175
73,Borger,4,,,,,73164.25,98784.0,98784.0,18924.608272035646
74,Youngstown-Warren-Boardman,64,79683.70212765958,134839.0,134839.0,26363.183615491624,114691.96875,209969.0,209969.0,44170.52312793944
75,Farmington,19,79398.0,79398.0,79398.0,,144498.7894736842,231794.0,231794.0,49878.59477390961
76,Shelbyville,4,99162.0,109809.0,109809.0,13147.013691329297,199018.75,228841.0,228841.0,30075.819926479144
77,Lewiston,7,,,,,234438.85714285713,276712.0,276712.0,27114.844669962436
78,Tiffin,13,67541.38461538461,87252.0,87252.0,9822.18951777438,115667.46153846153,166775.0,166775.0,27300.099488876665
79,Parsons,8,,,,,67163.5,92445.0,92445.0,17915.76991687172
80,Pensacola-Ferry Pass-Brent,23,98480.3,215328.0,215328.0,35016.21797200774,178877.95652173914,509530.0,509530.0,85536.75955851233
81,Wabash,10,84550.0,84550.0,84550.0,,107122.7,156807.0,156807.0,34299.918451636135
82,Logan,46,29750.5,46265.0,46265.0,11109.264197056436,176569.52173913043,399530.0,399530.0,117322.47768962625
83,Ann Arbor,16,164146.14285714287,223371.0,223371.0,41053.96186420079,288885.9375,456838.0,456838.0,97312.7810718056
84,Red Wing,10,106501.9,175640.0,175640.0,30943.500022711643,220444.2,354490.0,354490.0,55792.07090179671
85,Glenwood Springs,11,653551.0,1611007.0,1611007.0,830385.3098146667,1453288.0909090908,5345015.0,5345015.0,1695340.4160878991
86,Vineland-Bridgeton,13,108546.0,130311.0,130311.0,15919.259520048872,144001.61538461538,233174.0,233174.0,41058.10344811862
