,state,zips,metros,avg_price_97,max_price_97,min_price_97,std_price_97,avg_price_19,max_price_19,min_price_19,std_price_19
0,WA,576,23,161708.17607973423,651895.0,651895.0,65723.5257236369,369671.7291666667,2916471.0,2916471.0,247368.25611676558
1,MD,463,10,165353.65227817747,672284.0,672284.0,73885.98286943961,329255.14470842335,1757794.0,1757794.0,182223.3048314022
2,TN,615,28,81612.5828220859,347876.0,347876.0,44965.20701438055,161112.2861788618,806557.0,806557.0,97346.55974194592
3,MA,522,9,188744.84705882354,1122290.0,1122290.0,109137.14977474592,495865.94061302685,5067495.0,5067495.0,387147.29238886957
4,TX,1788,70,128784.04965753424,688862.0,688862.0,87059.35483516325,190232.55201342283,1426695.0,1426695.0,129055.25757424912
5,MO,944,29,115372.44805194806,459157.0,459157.0,64826.63784279232,143934.8029661017,880759.0,880759.0,75441.09306304158
6,OH,1199,48,95048.08820023837,311951.0,311951.0,40897.543057501425,136596.50792326938,488096.0,488096.0,69916.82844703084
7,IL,1276,33,144053.8790123457,739023.0,739023.0,89123.25308750066,150166.7210031348,1322457.0,1322457.0,127418.83958809011
8,VA,861,16,150336.26219512196,539509.0,539509.0,81324.42735381822,247282.47270615562,1271938.0,1271938.0,180019.49292173458
9,LA,454,20,96707.70967741935,250633.0,250633.0,43443.65427727635,142795.23788546256,551094.0,551094.0,68083.93478845668
10,ID,263,17,125727.08,192482.0,192482.0,39528.37171463049,257505.93155893535,1621604.0,1621604.0,136131.21935082303
11,WY,158,10,,,,,284085.43670886074,2379622.0,2379622.0,248576.81432523424
12,NV,159,10,190431.75789473683,912981.0,912981.0,109314.97044503196,318448.5094339623,2331652.0,2331652.0,249920.4515021456
13,MI,947,36,112298.10460251046,332760.0,332760.0,49755.87834404875,162238.51425554382,741212.0,741212.0,91850.03622643609
14,CT,273,6,167579.7,764635.0,764635.0,94264.38833238739,321036.25641025644,1968417.0,1968417.0,226138.83920202623
15,MT,265,8,,,,,261032.10566037736,1231376.0,1231376.0,115693.91868373156
16,WV,645,18,60936.35820895522,190152.0,190152.0,31700.537893589473,87399.20465116279,301978.0,301978.0,42581.355435217054
17,DC,23,1,216854.85,454473.0,454473.0,101099.12475402025,840981.8260869565,1688185.0,1688185.0,363052.4994496041
18,NC,790,42,109609.95081967213,468023.0,468023.0,53592.715148459094,183261.2481012658,1252913.0,1252913.0,114141.3552152077
19,NE,447,14,116631.55696202532,247962.0,247962.0,44319.40185012072,152102.44295302013,456991.0,456991.0,70893.90271890913
20,OK,623,23,54181.49078341014,231860.0,231860.0,32171.08320858972,102688.81861958267,427818.0,427818.0,51884.6098839017
21,NM,234,20,,,,,180850.82905982906,758035.0,758035.0,94987.56948083383
22,NH,239,8,118553.63905325443,588781.0,588781.0,63252.731970689194,293394.1589958159,1570441.0,1570441.0,147558.50908972116
23,NJ,586,7,189076.76404494382,1020305.0,1020305.0,90504.22320748768,400225.15699658706,2299330.0,2299330.0,253389.87654924218
24,KY,710,27,76883.24817518248,555261.0,555261.0,49443.502639371516,105657.04929577465,1164672.0,1164672.0,78832.36929892744
25,ME,370,5,116159.11842105263,424681.0,424681.0,56653.22635270929,210541.92162162162,1143716.0,1143716.0,127862.84617463087
26,PA,1723,38,108231.098873592,472688.0,472688.0,60851.43303855792,170847.99709808474,1022473.0,1022473.0,116334.16101019499
27,AR,567,24,61199.50347222222,228599.0,228599.0,29566.76589502608,97107.01587301587,341556.0,341556.0,48117.77703356311
28,RI,77,1,140632.68421052632,383028.0,383028.0,42549.04327422981,333308.1558441558,1128845.0,1128845.0,130216.29449062867
29,GA,707,40,94865.66809421842,564597.0,564597.0,55726.718022133326,172940.2234794908,2459557.0,2459557.0,141923.67371774898
30,CO,495,18,165189.81355932204,1611007.0,1611007.0,123336.76978294969,383902.57373737375,5345015.0,5345015.0,362927.79595509614
31,AZ,341,12,128563.45,572203.0,572203.0,64279.51519305008,264630.0909090909,1692836.0,1692836.0,150724.3486511658
32,OR,402,21,145055.81896551725,331600.0,331600.0,46844.79647635164,314509.98756218905,967183.0,967183.0,135791.0493479955
33,FL,955,30,122334.76335877863,1146701.0,1146701.0,84046.27006112313,287451.657591623,4618951.0,4618951.0,264305.4824243397
34,VT,259,7,113745.0701754386,206836.0,206836.0,31312.657663629154,230618.60617760618,589340.0,589340.0,83098.94341509267
35,SC,383,18,105925.0487804878,537224.0,537224.0,76916.31657259702,166056.03133159268,1951394.0,1951394.0,170956.67785964164
36,AL,609,27,90063.3984962406,273547.0,273547.0,39632.91496630498,126017.58128078817,585697.0,585697.0,70203.32088744361
37,CA,1685,35,203125.96024200518,1345432.0,1345432.0,116444.43401715059,633426.4700296735,5557015.0,5557015.0,533682.334224234
38,UT,244,11,185748.02666666667,335350.0,335350.0,51008.39926595379,307538.0860655738,1700984.0,1700984.0,150853.26224501658
39,WI,759,29,134797.9751552795,265390.0,265390.0,44580.051738270566,186516.99209486166,1829237.0,1829237.0,95561.97465577375
40,NY,1757,27,125367.84379172229,3168694.0,3168694.0,128183.20475204475,344865.79795105295,8126025.0,8126025.0,519555.63522501866
41,MN,855,27,123841.33864541832,296928.0,296928.0,44399.23595640876,196162.78713450293,865171.0,865171.0,99674.9788519179
42,IA,954,27,88641.87692307692,211543.0,211543.0,37609.92766926121,128271.07442348008,632391.0,632391.0,59397.11672956564
43,IN,805,40,82900.65573770492,153548.0,153548.0,24642.227445914363,138052.46708074535,839680.0,839680.0,66736.01030570269
44,SD,181,13,46836.0,46836.0,46836.0,,172786.2375690608,340471.0,340471.0,64172.44099234088
45,ND,171,9,,,,,155668.94152046784,403552.0,403552.0,68687.40255163734
46,AK,54,5,165159.53846153847,259732.0,259732.0,42853.00112908349,277965.9259259259,507441.0,507441.0,104791.26609361985
47,DE,65,3,149754.4,719108.0,719108.0,107643.83896683627,290223.8461538461,1114857.0,1114857.0,172942.6692663669
48,HI,84,4,280899.375,498054.0,498054.0,72645.23388083394,637654.3333333334,1381012.0,1381012.0,271756.57532401924
49,MS,368,24,,,,,114711.91847826086,881945.0,881945.0,66513.82787849876
50,KS,504,23,92417.52631578948,146885.0,146885.0,28768.963916323322,127929.05952380953,764446.0,764446.0,82509.6925053322
